Rk,Squad,Comp,# Pl,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
1,Alavés,es La Liga,32,613,370,295,269,49,194,580,33.4,386,5609,1464,26.1,1757,2820,1032,576,120,0,456,406,1019,1085,8
2,Amiens,fr Ligue 1,27,474,320,221,209,44,178,545,32.7,367,4946,1350,27.3,1521,2436,989,456,106,3,350,306,780,815,9
3,Angers,fr Ligue 1,26,502,320,230,209,63,172,557,30.9,385,5169,1427,27.6,1635,2535,999,421,59,1,362,254,756,690,8
4,Arsenal,eng Premier League,29,601,373,325,199,77,203,598,33.9,395,6127,1640,26.8,2242,2663,1222,614,153,2,461,334,935,978,14
5,Aston Villa,eng Premier League,28,606,388,338,195,73,191,611,31.3,420,5837,1595,27.3,2128,2487,1222,725,213,4,512,431,1037,983,29
6,Atalanta,it Serie A,30,702,445,313,294,95,288,772,37.3,484,5982,1870,31.3,1676,2941,1365,606,124,3,482,413,1115,849,9
7,Athletic Club,es La Liga,26,578,353,286,219,73,192,619,31.0,427,5447,1548,28.4,1709,2485,1253,573,99,2,474,383,961,1130,8
8,Atlético Madrid,es La Liga,30,671,431,310,273,88,261,679,38.4,418,5111,1532,30.0,1616,2385,1110,659,124,1,535,436,1107,989,6
9,Augsburg,de Bundesliga,28,549,331,276,212,61,190,632,30.1,442,5650,1440,25.5,1792,2624,1234,574,137,7,437,435,984,971,7
10,Barcelona,es La Liga,28,544,367,224,228,92,166,462,35.9,296,4843,1488,30.7,1268,2305,1270,495,93,4,402,345,889,638,9
11,Bayern Munich,de Bundesliga,29,554,369,194,256,104,186,554,33.6,368,4912,1707,34.8,1119,2169,1624,461,89,1,372,352,906,565,3
12,Betis,es La Liga,27,533,331,285,190,58,160,494,32.4,334,4917,1303,26.5,1588,2218,1111,561,141,1,420,315,848,943,5
13,Bologna,it Serie A,31,619,399,283,256,80,231,692,33.4,461,6607,1851,28.0,2119,2947,1541,653,143,6,510,409,1028,952,15
14,Bordeaux,fr Ligue 1,26,538,347,265,218,55,198,577,34.3,379,4725,1389,29.4,1379,2361,985,420,101,0,319,302,840,712,7
15,Bournemouth,eng Premier League,27,559,349,279,220,60,184,581,31.7,397,6794,1782,26.2,2218,2969,1607,703,176,3,527,478,1037,1136,14
16,Brescia,it Serie A,32,586,353,310,221,55,224,666,33.6,442,6507,1523,23.4,2413,2710,1384,701,196,3,505,363,949,963,12
17,Brest,fr Ligue 1,24,554,356,268,222,64,165,506,32.6,341,4469,1284,28.7,1527,2015,927,452,97,2,355,348,902,759,10
18,Brighton,eng Premier League,25,663,409,338,237,88,214,643,33.3,429,5794,1743,30.1,2013,2421,1360,630,162,5,468,410,1073,935,16
19,Burnley,eng Premier League,22,583,341,263,241,79,203,611,33.2,408,5806,1482,25.5,1784,2533,1489,712,189,3,523,379,962,1234,5
20,Cagliari,it Serie A,33,637,406,332,235,70,218,668,32.6,450,5304,1484,28.0,2100,2188,1016,654,199,3,455,347,984,921,10
21,Celta Vigo,es La Liga,30,619,371,351,217,51,191,563,33.9,372,5389,1542,28.6,2038,2316,1035,521,102,0,419,397,1016,985,4
22,Chelsea,eng Premier League,27,740,449,350,295,95,217,625,34.7,408,6211,1917,30.9,1806,2839,1566,576,102,2,474,448,1188,930,9
23,Crystal Palace,eng Premier League,25,733,430,392,265,76,260,678,38.3,418,6251,1698,27.2,2423,2651,1177,675,153,3,522,446,1179,998,13
24,Dijon,fr Ligue 1,28,583,360,292,223,68,198,548,36.1,350,4745,1347,28.4,1624,2254,867,431,110,1,321,339,922,751,7
25,Dortmund,de Bundesliga,27,596,401,276,250,70,221,550,40.2,329,5196,1676,32.3,1475,2389,1332,519,106,4,413,380,976,604,11
26,Düsseldorf,de Bundesliga,28,556,347,285,210,61,202,591,34.2,389,5501,1613,29.3,1787,2599,1115,557,117,4,440,381,937,759,10
27,Eibar,es La Liga,26,618,370,263,255,100,216,622,34.7,406,5516,1617,29.3,1388,2572,1556,580,96,3,484,454,1072,1044,7
28,Eint Frankfurt,de Bundesliga,27,679,444,311,289,79,207,630,32.9,423,5909,1837,31.1,1890,2636,1383,583,109,6,474,383,1062,761,5
29,Espanyol,es La Liga,31,642,401,322,255,65,237,685,34.6,448,5893,1660,28.2,1921,2837,1135,550,98,1,452,360,1002,1002,8
30,Everton,eng Premier League,24,739,423,369,267,103,245,735,33.3,490,6062,1656,27.3,2064,2634,1364,587,130,1,457,410,1149,1037,10
31,Fiorentina,it Serie A,33,635,401,349,211,75,184,650,28.3,466,5968,1629,27.3,1974,2591,1403,561,119,0,442,342,977,915,7
32,Freiburg,de Bundesliga,26,513,308,263,190,60,141,507,27.8,366,4798,1264,26.3,1666,2067,1065,561,168,3,393,361,874,1019,12
33,Genoa,it Serie A,34,617,391,316,224,77,184,607,30.3,423,6099,1652,27.1,2201,2634,1264,622,163,1,459,376,993,862,12
34,Getafe,es La Liga,30,643,390,260,293,90,200,575,34.8,375,6265,1868,29.8,1634,3177,1454,529,72,2,457,367,1010,1144,4
35,Granada,es La Liga,27,589,349,258,263,68,182,531,34.3,349,5814,1578,27.1,1733,2884,1197,588,126,0,462,386,975,1005,4
36,Hellas Verona,it Serie A,30,549,344,271,209,69,186,546,34.1,360,5563,1633,29.4,1997,2324,1242,596,190,3,406,397,946,1036,9
37,Hertha BSC,de Bundesliga,32,615,359,313,228,74,190,580,32.8,390,5757,1571,27.3,2029,2531,1197,652,142,4,510,394,1009,985,17
38,Hoffenheim,de Bundesliga,31,591,353,335,201,55,224,585,38.3,361,4665,1376,29.5,1664,1973,1028,595,141,5,454,345,936,858,4
39,Inter,it Serie A,29,576,373,239,246,91,200,633,31.6,433,5527,1514,27.4,1694,2377,1456,600,141,2,459,366,942,742,6
40,Juventus,it Serie A,30,625,382,275,231,119,207,598,34.6,391,5212,1477,28.3,1403,2339,1470,604,143,4,461,363,988,715,15
41,Köln,de Bundesliga,29,671,422,347,256,68,213,584,36.5,371,6326,1829,28.9,2134,2851,1341,592,113,2,479,426,1097,946,4
42,Lazio,it Serie A,27,641,403,318,245,78,216,687,31.4,471,5587,1597,28.6,2015,2326,1246,583,160,2,423,382,1023,766,8
43,Lecce,it Serie A,30,577,387,309,203,65,212,683,31.0,471,5390,1349,25.0,2155,2244,991,624,170,5,454,381,958,893,12
44,Leganés,es La Liga,29,639,389,339,229,71,220,602,36.5,382,5723,1584,27.7,1855,2620,1248,543,79,1,464,420,1059,1065,4
45,Leicester City,eng Premier League,24,780,477,380,310,90,283,786,36.0,503,6397,1988,31.1,2106,2897,1394,600,107,2,493,423,1203,1009,13
46,Levante,es La Liga,29,548,319,301,190,57,185,543,34.1,358,4985,1311,26.3,1704,2242,1039,539,119,0,420,333,881,1005,7
47,Leverkusen,de Bundesliga,24,614,382,274,263,77,219,605,36.2,386,5202,1774,34.1,1530,2437,1235,553,93,2,460,330,944,750,9
48,Lille,fr Ligue 1,25,497,324,203,235,59,209,569,36.7,360,4780,1432,30.0,1246,2292,1242,388,71,2,317,277,774,661,4
49,Liverpool,eng Premier League,24,606,375,223,259,124,213,609,35.0,396,5638,1813,32.2,1491,2345,1802,481,75,2,406,356,962,863,10
50,Lyon,fr Ligue 1,27,521,330,277,183,61,165,445,37.1,280,4267,1253,29.4,1433,1859,975,393,107,0,286,285,806,654,6
51,M'gladbach,de Bundesliga,25,630,400,290,260,80,216,626,34.5,410,5700,1686,29.6,1688,2619,1393,604,120,2,484,377,1007,712,11
52,Mainz 05,de Bundesliga,25,630,386,304,263,63,201,572,35.1,371,6083,1663,27.3,1937,2851,1295,625,131,4,494,384,1014,959,13
53,Mallorca,es La Liga,32,607,389,324,224,59,215,592,36.3,377,5626,1526,27.1,2031,2512,1083,561,125,1,436,391,998,776,8
54,Manchester City,eng Premier League,24,566,365,223,230,113,228,640,35.6,412,5003,1584,31.7,1185,2157,1661,444,74,3,370,355,921,656,19
55,Manchester Utd,eng Premier League,29,618,359,292,245,81,207,628,33.0,421,5857,1650,28.2,1878,2614,1365,632,117,0,515,373,991,879,7
56,Marseille,fr Ligue 1,23,604,372,279,255,70,222,607,36.6,385,4467,1277,28.6,1202,2156,1109,413,71,0,342,317,921,701,6
57,Metz,fr Ligue 1,24,608,385,351,210,47,200,520,38.5,320,5078,1353,26.6,1835,2382,861,470,107,0,363,300,908,802,5
58,Milan,it Serie A,32,649,412,306,261,82,206,652,31.6,446,6229,1753,28.1,1931,2841,1457,570,121,3,449,435,1084,693,12
59,Monaco,fr Ligue 1,28,566,356,256,252,58,191,567,33.7,376,4704,1404,29.8,1436,2179,1089,401,82,1,319,277,843,601,10
60,Montpellier,fr Ligue 1,27,473,294,236,187,50,205,589,34.8,384,4425,1247,28.2,1446,2001,978,383,93,2,290,309,782,722,2
